timesteps,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,reward_threshold,threshold_streak,n_eval_episodes,environment,environment_id,seed
140000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
150000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
160000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
170000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
180000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
190000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
200000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
210000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
220000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
230000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
240000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
250000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
260000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
270000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
280000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
290000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
300000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
310000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
320000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
330000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
340000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
350000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
360000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
370000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
380000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
390000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
400000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
410000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
420000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
430000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
440000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
450000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
460000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
470000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
480000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
490000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
500000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
